Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
1093,Ministry of Road Transport & Highways,Roads & Highways,Up-gradation of Pichhore- Dinara section of NH-346 from Km 292.750 to 334.550 to two lane with paved shoulders in the state of Madhya Pradesh on EPC mode,MoRTH,618021,Madhya Pradesh,02/2024,12/2025,06/2027,06/2027,425.97,0.00,90.26,38.02,114
1094,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length 42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya Pradesh on EPCmode.,MoRTH,618035,Madhya Pradesh,03/2023,11/2024,05/2026,12/2026,275.40,0.00,131.31,60.14,114
1095,Ministry of Road Transport & Highways,Roads & Highways,Upgradation and reconstruction of existing intermediate lane to two Lane with paved shoulder configuration from km. 43.00 Barna River to km. 77.00 ken river length 34.00 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. along with One time improvement in 01 no. of bypassed built-up area in a total length of 1.585 km in the state of Madhya Pradesh on EPCmode.,MoRTH,618036,Madhya Pradesh,03/2023,11/2024,11/2026,03/2027,315.55,0.00,119.05,43.00,114
1096,Ministry of Road Transport & Highways,Roads & Highways,Upgradation and reconstruction of Dindori - Mandla Section of NH 543 from Km 77100 Design to Km 170580 Design Total length 93.48km to Two lane with paved shoulder configuration along with One time improvement in 04 nos of bypassed built-up areas in a total length of 7.23 km in the state of Madhya Pradesh on EPC mode,MoRTH,618043,Madhya Pradesh,03/2022,01/2024,07/2026,09/2026,492.12,0.00,309.82,88.00,114
1097,Ministry of Road Transport & Highways,Roads & Highways,Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh,MoRTH,618044,Madhya Pradesh,02/2024,03/2026,03/2028,03/2028,851.40,0.00,49.32,12.06,114
1098,Ministry of Road Transport & Highways,Roads & Highways,"Construction of Kaithi-Padaria Kala bypass, Patna-Tamoli bypass, Jaso bypass and Nagod bypass total length 15.44 Km to 2-lane with paved shoulders flexible pavement on NH-943 in the State of Madhya Pradesh on EPC Mode.",MoRTH,618068,Madhya Pradesh,03/2022,10/2023,10/2025,12/2026,158.36,0.00,63.03,62.80,114
1099,Ministry of Road Transport & Highways,Roads & Highways,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,MoRTH,618085,Madhya Pradesh,12/2021,04/2023,10/2024,10/2026,305.12,0.00,237.68,92.33,114
1100,Ministry of Road Transport & Highways,Roads & Highways,"Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.",MoRTH,618129,Madhya Pradesh,03/2023,12/2024,12/2026,12/2026,467.93,0.00,269.61,99.15,114
1101,Ministry of Road Transport & Highways,Roads & Highways,"Construction of Morena bypass, Ambah bypass & Porsa bypass Totat length 27.16 km Section of NH-552 Ext. to TWo lane with paved shoulder configuration in the state of Madhya Pradesh on EPC mode",MoRTH,618156,Madhya Pradesh,02/2023,10/2024,10/2026,10/2026,492.66,0.00,314.26,75.00,114
1102,Ministry of Road Transport & Highways,Roads & Highways,Construction of Ater realignment & Bhind bypass Total length. 21.50 km Section of NH-552Extn. to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.,MoRTH,618157,Madhya Pradesh,03/2023,12/2024,06/2026,12/2026,348.06,0.00,103.82,69.95,115
1103,Ministry of Road Transport & Highways,Roads & Highways,"Upgradation of Goras to Shyampur Road section of NH-552 Ext., from Design Chainge 48.400 to 111.800 Km Total length 63.40 km to two lane with paved shoulder configuration along with One time improvement of 8.91 km in the state of Madhya Pradesh on EPC mode",MoRTH,618158,Madhya Pradesh,03/2023,12/2024,12/2026,12/2026,416.96,0.00,56.68,16.84,115
1104,Ministry of Road Transport & Highways,Roads & Highways,Construction of Two lane with paved shoulder configuration of Shujalpur Bypass section of NH-752C from km 33100 Design to km. 42570 Design total design length 10.470 km in the State of Madhya Pradesh on EPC mode.,MoRTH,618170,Madhya Pradesh,03/2023,03/2024,09/2025,12/2026,214.07,0.00,69.76,46.76,115
1105,Ministry of Road Transport & Highways,Roads & Highways,"Work of Upgradation of Jirapur-Pachore Road including Pachore, Jirapur, Chhapiheda & Khujner Bypasses from 0000 to 58790 Design Length 58.79 Km section of NH-752C to 2LPS in the State of Madhya Pradesh under EPC mode",MoRTH,618171,Madhya Pradesh,03/2022,01/2024,01/2026,12/2026,352.69,0.00,167.59,57.26,115
1106,Ministry of Road Transport & Highways,Roads & Highways,Bypass on Western side of Gwalior City,NHAI,618619,Madhya Pradesh,03/2025,01/2026,01/2028,01/2028,998.95,0.00,227.59,0.00,115
1107,Ministry of Road Transport & Highways,Roads & Highways,"Additional works 2VUPs, MR-10 junction flyover and underpass in Six lane Indore- Dewas section of NH-52 in the state of Madhya Pradesh on EPC Mode",NHAI,618620,Madhya Pradesh,08/2022,01/2023,07/2024,03/2027,207.77,0.00,155.24,90.18,115
1108,Ministry of Road Transport & Highways,Roads & Highways,Indore - Edlabad Pkg-II [Tejajinagar to Balwara],NHAI,618621,Madhya Pradesh,03/2022,01/2023,01/2025,12/2026,1162.80,0.00,824.50,87.80,115
1109,Ministry of Road Transport & Highways,Roads & Highways,4L of Indore - Boregaon Pkg-III [Balwara to Dhangaon] from km. 42.260 to km. 82.660 of NH347BG & 753L,NHAI,618622,Madhya Pradesh,01/2021,04/2022,04/2024,10/2026,1001.69,0.00,835.16,92.50,115
1110,Ministry of Road Transport & Highways,Roads & Highways,4L Boregaon Buzurg to Shahpur Pkg I of Boregaon Buzurg to Muktainagar of NH 753L,NHAI,618623,Madhya Pradesh,11/2022,02/2024,01/2026,10/2026,1504.37,0.00,556.92,92.50,115
1111,Ministry of Road Transport & Highways,Roads & Highways,4L Greenfield Rudhi to Deshgaon Pkg V of Betul-Khandwa/Deshgaon,NHAI,618654,Madhya Pradesh,11/2022,10/2023,10/2025,03/2027,521.21,0.00,216.60,63.79,115
1112,Ministry of Road Transport & Highways,Roads & Highways,2L PS of Roshni to Ashapur Section of NH-347B from Design KM Ch. 89.900 to 114.000 KM Package III of Betul Khandwa,NHAI,618655,Madhya Pradesh,03/2024,08/2024,08/2026,09/2026,200.99,0.00,132.61,100.00,115
1113,Ministry of Road Transport & Highways,Roads & Highways,4L from km 0.000 to 42.040 Bhopal Ratnaigiri Tiraha to Vidisha Morikodi,NHAI,618661,Madhya Pradesh,10/2024,11/2025,11/2027,11/2027,1032.30,0.00,194.11,20.23,115
1114,Ministry of Road Transport & Highways,Roads & Highways,4L Vidisha Gyaraspur section of NH-146 from Design Chainage km 59475 existing chainage km 81240 to Design Chainage km 88361 existing chainage km 110.315,NHAI,618662,Madhya Pradesh,10/2024,03/2026,03/2028,03/2028,980.20,0.00,113.19,12.25,115
1115,Ministry of Road Transport & Highways,Roads & Highways,i 4L Vidisha to Hinotiya from km 0.000 to Km 27.000 Vidisha Mehulwa-Talbehat Pkg- I Section of NH- 346 and ii 4L Vidisha to Morikori from Km 39.000 to 59.476 section of NH-146,NHAI,618663,Madhya Pradesh,09/2022,12/2023,12/2025,12/2026,1003.87,0.00,434.21,90.04,115
1116,Ministry of Road Transport & Highways,Roads & Highways,Berkhedi to Godpehra on NH-44 Sagar link road,NHAI,618664,Madhya Pradesh,02/2022,11/2022,11/2024,12/2026,524.84,0.00,391.54,93.05,115
1117,Ministry of Road Transport & Highways,Roads & Highways,4- Laning of Mohari to Satai Ghat section NH-934 from Km 50300 to Km 89875 Total length 39.575 km Package-2 in the State of Madhya Pradesh on EPC Mode,NHAI,618666,Madhya Pradesh,08/2022,08/2024,08/2026,09/2026,710.92,0.00,533.05,99.91,115
1118,Ministry of Road Transport & Highways,Roads & Highways,4L of near Satai Ghat to Chowka section of NH-34 from D. Ch. 89.875 to D. Ch. 145.000 Package-3,NHAI,618667,Madhya Pradesh,10/2024,10/2025,10/2027,10/2027,1005.59,0.00,224.70,38.26,115
1119,Ministry of Road Transport & Highways,Roads & Highways,4-lanning of Rahatgarh to Berkhedi section of NH-146 from Design Ch 124470 to Ch. 134.549,NHAI,618671,Madhya Pradesh,03/2025,12/2025,12/2027,12/2027,618.33,0.00,53.19,14.60,115
1120,Ministry of Road Transport & Highways,Roads & Highways,4-lanning of Gyaraspur to Rahatgarh section of NH-146 from Design Ch. 88361 to Ch 124470 in the state of MP on HAM mode,NHAI,618672,Madhya Pradesh,10/2024,11/2025,11/2027,11/2027,903.44,0.00,191.87,35.25,116
1121,Ministry of Road Transport & Highways,Roads & Highways,Outer Ring Road of Jabalpur Town from Manegaon to NH-45 Pkg-2,NHAI,618684,Madhya Pradesh,11/2022,03/2024,03/2026,03/2027,917.26,0.00,529.01,78.75,116
1122,Ministry of Road Transport & Highways,Roads & Highways,Outer Ring Road of Jabalpur Town from NH45 to Kushner Pkg-3,NHAI,618685,Madhya Pradesh,09/2022,03/2024,03/2026,12/2026,911.24,0.00,552.62,79.80,116
1123,Ministry of Road Transport & Highways,Roads & Highways,Outer Ring Road of Jabalpur Town from Kushner to Amjhar Road including Airport Connectivity Pkg-IV,NHAI,618686,Madhya Pradesh,08/2022,03/2024,03/2026,03/2027,612.94,0.00,369.68,79.63,116
1124,Ministry of Road Transport & Highways,Roads & Highways,Outer Ring Road of Jabalpur Town from Barela to Manegaon Pkg-1,NHAI,618687,Madhya Pradesh,09/2022,03/2023,03/2025,03/2027,652.33,0.00,501.21,89.72,116
1125,Ministry of Road Transport & Highways,Roads & Highways,Outer Ring Road of Jabalpur Town from Amjhar Road including Airport Connectivity to barela Pkg-V,NHAI,618688,Madhya Pradesh,10/2024,10/2025,10/2027,10/2027,794.70,0.00,105.49,32.38,116
1126,Ministry of Road Transport & Highways,Roads & Highways,Indore - Harda Pkg-I [Indore to Raghav Garh from km. 0.25 to km. 26.903],NHAI,618694,Madhya Pradesh,01/2022,11/2022,10/2024,09/2026,1011.29,0.00,710.89,96.09,116
1127,Ministry of Road Transport & Highways,Roads & Highways,4L of Chandesara to Khedakhajuriya from Km. 0.000 to - 750 & Km 0.000 to km 41.400 of NH-148NG Pkg-I,NHAI,618735,Madhya Pradesh,12/2021,09/2022,05/2024,03/2027,909.84,0.00,587.82,99.00,116
1128,Ministry of Road Transport & Highways,Roads & Highways,2L PS of Hinotiya-Mehulwa section of NH-346 from Km. 27.000 to Km 75.700 Vidisha Mehulwa-Talbehat Pkg-II Section of NH- 346,NHAI,618751,Madhya Pradesh,10/2022,09/2023,09/2025,03/2027,581.65,0.00,274.61,69.04,116
1129,Ministry of Road Transport & Highways,Roads & Highways,Itarsi Km. 63.000 to Betul Km. 137.000 of NH-69 in Madhya Pradesh,NHAI,618762,Madhya Pradesh,08/2017,02/2018,02/2020,12/2026,950.27,0.00,666.78,100.00,116
1130,Ministry of Road Transport & Highways,Roads & Highways,Balance works of 4 lane divided carriageway of Missing Link section of NH-39 Rewa Bypass from junction with NH 30 near Bela to Junction with MPRDC ring road near Silpara on SH 9 design length 13.100 km on EPC Mode under Bharatmala Pariyojana in the State of Madhya Pradesh,NHAI,618784,Madhya Pradesh,08/2023,04/2024,04/2026,01/2027,355.36,0.00,264.26,84.44,116
1131,Ministry of Road Transport & Highways,Roads & Highways,Construction of 6 lane Indore western bypass from km 0000 to Km 34000 Pkg -l in the State of Madhya Pradesh on Hybrid Annuity Mode under NHO,NHAI,618932,Madhya Pradesh,02/2024,01/2026,12/2027,12/2027,1534.70,0.00,721.68,27.60,116
1132,Ministry of Road Transport & Highways,Roads & Highways,Construction of 6 lane Indore western bypass from km 34000 to Km 64000 Pkg-II in the state of Madhya Pradesh on Hybrid Annuity Mode under NHO,NHAI,618933,Madhya Pradesh,03/2024,02/2026,02/2028,02/2028,1430.56,0.00,881.78,17.50,116
1133,Ministry of Road Transport & Highways,Roads & Highways,4L of Budhni to Shahganj Bypass End Package-III of NH-146B from Km. 73.750 to Km. 102.000,NHAI,618962,Madhya Pradesh,03/2024,08/2025,08/2027,08/2027,1102.97,0.00,196.81,28.95,116
1134,Ministry of Road Transport & Highways,Roads & Highways,Construction work of 4-laning of Shahganj bypass end to Badi Package-IV of NH-146B from design km 102.000 to design km 142.357 Design length 40.357 km,NHAI,618963,Madhya Pradesh,02/2024,03/2025,03/2027,03/2027,784.14,0.00,347.21,53.60,116
1135,Ministry of Road Transport & Highways,Roads & Highways,4 Laning of Sandalpur to Nasrullaganj Pkg-1 section of NH-146B Length 43.2 Km.,NHAI,618964,Madhya Pradesh,03/2025,01/2026,01/2028,01/2028,1425.98,0.00,198.59,11.57,116
1136,Ministry of Road Transport & Highways,Roads & Highways,Six laning with both sides Service Road of Ayodhya Bypass from Design Km 0000 near Ashram Tiraha on NH-46 to Km 16439 end at Ratnagiri Tiraha on Nh-146,NHAI,618966,Madhya Pradesh,02/2024,08/2025,08/2027,08/2027,1123.17,0.00,177.29,21.61,116
1137,Ministry of Road Transport & Highways,Roads & Highways,Upgradation of Sarvardewla to Pal MP/MH Border Road section of NH-347 C from Design Chainge km 81.600 to 137.400 Total length 55.80 km to two lane with paved shoulder configuration along with One time improvement of 1 .95 km in the State of Madhya Pradesh on EPC mode.,MoRTH,619007,Madhya Pradesh,03/2023,01/2026,01/2028,01/2028,461.23,0.00,22.20,3.10,116
1138,Ministry of Road Transport & Highways,Roads & Highways,Dhangaon - Borgaon section km 81.000 to km 139.000 [Indore - Edlabad Pkg IV],NHAI,619100,Madhya Pradesh,01/2020,08/2021,08/2023,10/2026,866.00,0.00,746.60,99.80,116
1139,Ministry of Road Transport & Highways,Roads & Highways,Indore - Harda Pkg-II [Raghavgarh to Nanasa from km. 29.30 to km. 92.30],NHAI,619114,Madhya Pradesh,01/2023,03/2024,03/2026,06/2027,1081.51,0.00,370.33,40.25,117
1140,Ministry of Road Transport & Highways,Roads & Highways,Balance work for rehabilitation and upgradation of Sidhi -Singrauli Road from Km 82/400 to Km 187/99 Design Length 105.59 Km of NH-39 Old NH-75E to four lane with paved shoulder in the State of Madhya Pradesh on Item Rate Mode.,NHAI,619304,Madhya Pradesh,01/2026,05/2026,05/2028,05/2028,568.32,0.00,4.09,0.00,117
1141,Ministry of Road Transport & Highways,Roads & Highways,Construction of 6 lane flyover from Khapari ROB to Mihan Interchange design chainage km 8760 to 11450 L- 2.69 km and upgradation of existing 4L PS road to 6LPS with service road by flexible pavement design chainage km 11450 to 14500 L- 3.05 [total project length 5.74 km] in section of Nagpur - Hyderabad NH-44 Old NH-7 in Nagpur district in the state of Maharashtra on HAM mode.,MoRTH,617912,Maharashtra,03/2024,10/2025,10/2027,10/2027,619.55,0.00,22.85,12.21,117
1142,Ministry of Road Transport & Highways,Roads & Highways,Construction of New Four Lane Bypass to Parbhani City Parwa to Asola Km 463/265 to Km 481/180 Design Ch. 19220 to Ch. 34434 Length-15.214 Km section of NH-61 on EPC mode in the State of Maharashtra.,MoRTH,617932,Maharashtra,03/2022,07/2023,10/2024,10/2026,496.64,0.00,216.62,73.00,117
1143,Ministry of Road Transport & Highways,Roads & Highways,Nasratpur to Barasgaon section of NH-61 2L / 4L PS from Km.514/00 to 558/200,MoRTH,617934,Maharashtra,07/2017,09/2017,09/2019,08/2026,406.54,0.00,528.24,95.84,117
1144,Ministry of Road Transport & Highways,Roads & Highways,Udgir Raavi Degloor Aadampur phata to Sagroli fata,MoRTH,617937,Maharashtra,11/2024,04/2026,04/2028,-,809.77,0.00,42.26,20.00,117
1145,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation And Upgradation to four lane with paved shoulder configuration from km 24350 to km 61875 Jawale - Borgaon Kale of NH-63 in the State of Maharashtra on EPC mode under Annual Plan 2024-25 Total length - 37.525 Km.,MoRTH,617938,Maharashtra,12/2024,09/2025,03/2027,03/2027,574.18,0.00,28.75,20.00,117
1146,Ministry of Road Transport & Highways,Roads & Highways,Balance work of NH-66 from design Km 84/00 to Km 87/100 Indapur Bypass and Km 91/600 to Km 99/100 Mangaon Bypass to four lane with paved shoulder in State of Maharashtra under NHO on EPC Mode.,MoRTH,617945,Maharashtra,03/2025,10/2025,04/2027,04/2027,354.21,0.00,156.44,70.34,117
1147,Ministry of Road Transport & Highways,Roads & Highways,Kashedi to Parshuram Ghat section of NH-66 from Km 161/600 - Km 205/400 - 4L PS,MoRTH,617946,Maharashtra,03/2016,02/2018,02/2020,12/2025,1142.62,0.00,1241.63,97.50,117
1148,Ministry of Road Transport & Highways,Roads & Highways,Arawali Kante section of NH-17New NH-66 4L PS from Km.241/300 to 281/300,MoRTH,617947,Maharashtra,03/2016,11/2017,11/2019,03/2026,1006.99,0.00,773.14,80.06,117
1149,Ministry of Road Transport & Highways,Roads & Highways,Kante - Wakad section of NH-66 4L PS from Km.281/300 to 332/200,MoRTH,617948,Maharashtra,03/2016,11/2017,11/2019,11/2025,1117.75,0.00,1315.34,90.14,117
1150,Ministry of Road Transport & Highways,Roads & Highways,Kopargaon to Savali Vihir section,MoRTH,617965,Maharashtra,06/2022,01/2023,07/2024,09/2026,195.38,0.00,105.16,93.50,117
1151,Ministry of Road Transport & Highways,Roads & Highways,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaishal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra- Package-II & Package III combined- starting from existing chainage Km 341/300 to Km 394/130 and design chainage Km 340/250 at Dahiwadi Village to Km 392/950 ending at Vita Village in the State of Maharashtra on EPC Mode.",MoRTH,617978,Maharashtra,03/2024,05/2025,05/2027,05/2027,631.76,0.00,303.71,88.30,117
1152,Ministry of Road Transport & Highways,Roads & Highways,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km 340466km in the S",MoRTH,617979,Maharashtra,03/2024,05/2025,05/2027,05/2027,533.76,0.00,217.44,77.07,117
1153,Ministry of Road Transport & Highways,Roads & Highways,"Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari Bridge of NH 543 Bhamhapuri-wadsa-kurkheda-korchi-Deori-Amgaon road on EPC mode in the State of Maharashtra",MoRTH,618042,Maharashtra,03/2022,11/2023,05/2025,12/2026,163.86,0.00,62.18,50.25,117
1154,Ministry of Road Transport & Highways,Roads & Highways,"Widening, Reconstruction & Up-gradation to 2 lane with Paved Shoulder/Four Lane configuration for the work of Ahmednagar to Sabalkhed & Ashti to Chinchpur Section of NH-561 from Design km 2915 to km 37728 & Design km 55100 to km 70000 in the State of Maharashtra on EPC mode. Length 49.713 km",MoRTH,618047,Maharashtra,03/2024,05/2025,05/2027,05/2027,657.16,0.00,383.14,93.93,117
